Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Population municipale 2021;Nb de pers. non scolarisées de 15 ans ou + 2020;Résidences principales 2020;Logements 2020;Nb d'emplois au lieu de travail (LT) 2020;Nb étab. actifs employeurs au 31/12 2021;Nb d'hôtels 2024;Nb de chambres dans les hôtels 2024;Nb de terrains de camping 2024;Nb d'emplacements de camping 2024;Nb d'autres hébergements collectifs de tourisme 2024
01249;Miribel;10225;7295;4159;4615;4993;385;0;0;0;0;0
01250;Misérieux;1994;1302;706;734;282;25;0;0;0;0;0
01252;Mogneneins;803;573;318;371;71;15;0;0;0;0;0
01254;Montagnat;2145;1560;848;942;590;101;2;122;0;0;0
01255;Montagnieu;666;463;270;337;62;10;1;20;0;0;0
01257;Montanges;350;270;154;211;72;11;0;0;0;0;0
01258;Montceaux;1198;872;468;499;294;30;0;0;0;0;0
01259;Montcet;704;500;268;280;60;16;0;0;0;0;0
01260;Le Montellier;319;212;111;130;48;11;0;0;0;0;0
01261;Monthieux;682;503;266;307;142;17;1;53;0;0;0
01262;Montluel;6838;5041;2977;3274;2997;185;1;8;0;0;0
01263;Montmerle-sur-Saône;3792;2776;1619;1761;913;90;0;0;0;0;0
01264;Montracol;1008;739;418;439;86;20;0;0;0;0;0
01265;Montréal-la-Cluse;3541;2575;1549;1699;1864;152;1;28;0;0;0
01266;Montrevel-en-Bresse;2578;2043;1221;1387;1306;131;1;6;1;545;0
01267;Nurieux-Volognat;990;762;417;459;416;37;0;0;0;0;0
01268;Murs-et-Gélignieux;240;180;107;135;30;7;0;0;1;113;0
01269;Nantua;3449;2479;1498;2010;1326;110;1;47;1;58;0
01272;Neuville-les-Dames;1515;1142;675;775;307;46;0;0;0;0;0
01273;Neuville-sur-Ain;1799;1302;732;874;284;31;1;14;0;0;0
01274;Les Neyrolles;632;438;244;284;126;19;0;0;0;0;0
01275;Neyron;2538;1883;1039;1096;1144;121;0;0;0;0;0
01276;Niévroz;1634;1146;574;596;288;26;0;0;0;0;0
01277;Nivollet-Montgriffon;115;90;57;99;8;3;0;0;0;0;0
01279;Oncieu;73;63;41;75;9;2;0;0;0;0;0
01280;Ordonnaz;141;102;69;127;19;3;0;0;0;0;0
01281;Ornex;4690;3142;1914;2197;589;58;1;24;0;0;0
01282;Outriaz;255;201;112;133;143;7;0;0;0;0;0
01283;Oyonnax;22277;15838;9564;11283;10502;822;4;110;0;0;0
01284;Ozan;725;527;281;316;185;21;0;0;0;0;0
01285;Parcieux;1319;950;499;544;212;29;0;0;1;190;0
01286;Parves et Nattages;955;744;417;503;67;11;0;0;0;0;0
01288;Péron;2838;1965;1170;1352;385;51;1;7;0;0;0
01289;Péronnas;6448;4866;2876;3105;2523;238;0;0;0;0;0
01290;Pérouges;1346;990;576;642;261;55;2;51;0;0;0
01291;Perrex;852;645;352;385;209;19;0;0;0;0;0
01293;Peyriat;148;103;60;72;14;3;0;0;0;0;0
01294;Peyrieu;908;604;361;425;211;19;0;0;0;0;0
01295;Peyzieux-sur-Saône;666;454;231;244;50;12;0;0;0;0;0
01296;Pirajoux;407;300;170;196;30;7;0;0;0;0;0
01297;Pizay;914;623;330;353;61;20;0;0;0;0;0
01298;Plagne;161;116;61;91;11;2;0;0;0;0;0
01299;Le Plantay;579;406;216;235;76;21;0;0;0;0;0
01301;Polliat;2648;1967;1127;1269;526;85;1;7;0;0;0
01302;Pollieu;168;138;76;98;8;3;0;0;0;0;0
01303;Poncin;1729;1240;776;975;635;45;1;10;0;0;0
01304;Pont-d'Ain;2871;2129;1225;1478;1007;112;1;15;1;180;0
01305;Pont-de-Vaux;2189;1795;1105;1320;1475;133;1;10;2;356;0
01306;Pont-de-Veyle;1629;1275;743;867;636;45;0;0;0;0;0
01307;Port;843;642;373;416;607;34;0;0;1;80;0
01308;Pougny;796;575;340;441;43;6;0;0;0;0;0
01309;Pouillat;81;60;38;51;10;3;0;0;0;0;0
01310;Prémeyzel;247;203;54;75;132;6;0;0;0;0;0
01311;Prémillieu;44;35;21;64;10;4;0;0;0;0;0
01313;Prévessin-Moëns;9063;6025;3767;4599;1301;106;1;152;0;0;1
01314;Priay;1764;1256;731;856;283;34;0;0;1;105;0
01317;Ramasse;331;231;136;156;10;4;0;0;0;0;0
01318;Rancé;741;510;257;267;72;19;0;0;0;0;0
01319;Relevant;467;335;187;208;46;11;0;0;0;0;0
01320;Replonges;3899;2817;1598;1755;1368;127;2;20;0;0;0
01321;Revonnas;896;631;349;386;46;14;0;0;0;0;0
01322;Reyrieux;5098;3586;1851;1986;2188;174;1;8;0;0;0
