Code géographique;Libellé géographique;Aire d'attraction des villes 2020;Libellé aire d'attraction des villes 2020;Catégorie commune dans aire d'attraction des villes 2020;Département;Région
56108;Larré;057;Vannes;20;56;53
56109;Lauzach;057;Vannes;20;56;53
56110;Lignol;000;Commune hors attraction des villes;30;56;53
56111;Limerzel;000;Commune hors attraction des villes;30;56;53
56112;Lizio;000;Commune hors attraction des villes;30;56;53
56113;Locmalo;000;Commune hors attraction des villes;30;56;53
56114;Locmaria;000;Commune hors attraction des villes;30;56;53
56115;Locmaria-Grand-Champ;057;Vannes;20;56;53
56116;Locmariaquer;000;Commune hors attraction des villes;30;56;53
56117;Locminé;557;Locminé;11;56;53
56118;Locmiquélic;053;Lorient;20;56;53
56119;Locoal-Mendon;000;Commune hors attraction des villes;30;56;53
56120;Locqueltas;057;Vannes;20;56;53
56121;Lorient;053;Lorient;11;56;53
56122;Loyat;255;Ploërmel;20;56;53
56123;Malansac;000;Commune hors attraction des villes;30;56;53
56124;Malestroit;656;Malestroit;11;56;53
56125;Malguénac;207;Pontivy;20;56;53
56126;Marzan;000;Commune hors attraction des villes;30;56;53
56127;Mauron;000;Commune hors attraction des villes;30;56;53
56128;Melrand;207;Pontivy;20;56;53
56129;Ménéac;000;Commune hors attraction des villes;30;56;53
56130;Merlevenez;053;Lorient;20;56;53
56131;Meslan;053;Lorient;20;56;53
56132;Meucon;057;Vannes;20;56;53
56133;Missiriac;656;Malestroit;20;56;53
56134;Mohon;000;Commune hors attraction des villes;30;56;53
56135;Molac;057;Vannes;20;56;53
56136;Monteneuf;431;Guer;20;56;53
56137;Monterblanc;057;Vannes;20;56;53
56139;Montertelot;255;Ploërmel;20;56;53
56140;Moréac;666;Moréac;11;56;53
56141;Moustoir-Ac;057;Vannes;20;56;53
56143;Muzillac;057;Vannes;20;56;53
56144;Évellys;000;Commune hors attraction des villes;30;56;53
56145;Néant-sur-Yvel;255;Ploërmel;20;56;53
56146;Neulliac;207;Pontivy;20;56;53
56147;Nivillac;000;Commune hors attraction des villes;30;56;53
56148;Nostang;053;Lorient;20;56;53
56149;Noyal-Muzillac;000;Commune hors attraction des villes;30;56;53
56151;Noyal-Pontivy;207;Pontivy;20;56;53
56152;Le Palais;000;Commune hors attraction des villes;30;56;53
56153;Péaule;000;Commune hors attraction des villes;30;56;53
56154;Peillac;188;Redon;20;56;53
56155;Pénestin;000;Commune hors attraction des villes;30;56;53
56156;Persquen;000;Commune hors attraction des villes;30;56;53
56157;Plaudren;057;Vannes;20;56;53
56158;Plescop;057;Vannes;20;56;53
56159;Pleucadeuc;000;Commune hors attraction des villes;30;56;53
56160;Pleugriffet;000;Commune hors attraction des villes;30;56;53
56161;Ploemel;000;Commune hors attraction des villes;30;56;53
56162;Ploemeur;053;Lorient;20;56;53
56163;Ploërdut;000;Commune hors attraction des villes;30;56;53
56164;Ploeren;057;Vannes;20;56;53
56165;Ploërmel;255;Ploërmel;11;56;53
56166;Plouay;053;Lorient;20;56;53
56167;Plougoumelen;057;Vannes;20;56;53
56168;Plouharnel;578;Carnac;20;56;53
56169;Plouhinec;053;Lorient;20;56;53
56170;Plouray;000;Commune hors attraction des villes;30;56;53
56171;Pluherlin;000;Commune hors attraction des villes;30;56;53
56172;Plumelec;057;Vannes;20;56;53
56173;Pluméliau-Bieuzy;207;Pontivy;20;56;53
56174;Plumelin;557;Locminé;20;56;53
56175;Plumergat;057;Vannes;20;56;53
56176;Pluneret;057;Vannes;20;56;53
56177;Pluvigner;538;Pluvigner;11;56;53
56178;Pontivy;207;Pontivy;11;56;53
56179;Pont-Scorff;053;Lorient;20;56;53
56180;Porcaro;431;Guer;20;56;53
56181;Port-Louis;053;Lorient;20;56;53
56182;Priziac;000;Commune hors attraction des villes;30;56;53
56184;Questembert;000;Commune hors attraction des villes;30;56;53
56185;Quéven;053;Lorient;20;56;53
56186;Quiberon;567;Quiberon;11;56;53
56188;Quistinic;000;Commune hors attraction des villes;30;56;53
56189;Radenac;000;Commune hors attraction des villes;30;56;53
56190;Réguiny;000;Commune hors attraction des villes;30;56;53
56191;Réminiac;431;Guer;20;56;53
56193;Riantec;053;Lorient;20;56;53
56194;Rieux;188;Redon;20;56;53
56195;La Roche-Bernard;000;Commune hors attraction des villes;30;56;53
56196;Rochefort-en-Terre;000;Commune hors attraction des villes;30;56;53
56197;Val d'Oust;255;Ploërmel;20;56;53
56198;Rohan;229;Loudéac;20;56;53
56199;Roudouallec;621;Gourin;20;56;53
56200;Ruffiac;000;Commune hors attraction des villes;30;56;53
56201;Le Saint;621;Gourin;20;56;53
56202;Saint-Abraham;255;Ploërmel;20;56;53
56203;Saint-Aignan;000;Commune hors attraction des villes;30;56;53
56204;Saint-Allouestre;000;Commune hors attraction des villes;30;56;53
56205;Saint-Armel;057;Vannes;20;56;53
56206;Saint-Avé;057;Vannes;20;56;53
56207;Saint-Barthélemy;000;Commune hors attraction des villes;30;56;53
56208;Saint-Brieuc-de-Mauron;000;Commune hors attraction des villes;30;56;53
56209;Sainte-Brigitte;207;Pontivy;20;56;53
56210;Saint-Caradec-Trégomel;000;Commune hors attraction des villes;30;56;53
56211;Saint-Congard;000;Commune hors attraction des villes;30;56;53
56212;Saint-Dolay;000;Commune hors attraction des villes;30;56;53
56213;Saint-Gérand-Croixanvec;207;Pontivy;20;56;53
56214;Saint-Gildas-de-Rhuys;000;Commune hors attraction des villes;30;56;53
56215;Saint-Gonnery;207;Pontivy;20;56;53
56216;Saint-Gorgon;188;Redon;20;56;53
56218;Saint-Gravé;000;Commune hors attraction des villes;30;56;53
56219;Saint-Guyomard;057;Vannes;20;56;53
56220;Sainte-Hélène;053;Lorient;20;56;53
56221;Saint-Jacut-les-Pins;188;Redon;20;56;53
56222;Saint-Jean-Brévelay;057;Vannes;20;56;53
56223;Saint-Jean-la-Poterie;188;Redon;20;56;53
56224;Saint-Laurent-sur-Oust;656;Malestroit;20;56;53
56225;Saint-Léry;000;Commune hors attraction des villes;30;56;53
56226;Saint-Malo-de-Beignon;431;Guer;12;56;53
56227;Saint-Malo-des-Trois-Fontaines;255;Ploërmel;20;56;53
56228;Saint-Marcel;000;Commune hors attraction des villes;30;56;53
56229;Saint-Martin-sur-Oust;000;Commune hors attraction des villes;30;56;53
56230;Saint-Nicolas-du-Tertre;000;Commune hors attraction des villes;30;56;53
56231;Saint-Nolff;057;Vannes;20;56;53
56232;Saint-Perreux;188;Redon;20;56;53
56233;Saint-Philibert;000;Commune hors attraction des villes;30;56;53
56234;Saint-Pierre-Quiberon;567;Quiberon;20;56;53
56236;Saint-Servant;255;Ploërmel;20;56;53
56237;Saint-Thuriau;207;Pontivy;20;56;53
56238;Saint-Tugdual;000;Commune hors attraction des villes;30;56;53
56239;Saint-Vincent-sur-Oust;188;Redon;20;56;53
56240;Sarzeau;000;Commune hors attraction des villes;30;56;53
56241;Sauzon;000;Commune hors attraction des villes;30;56;53
56242;Séglien;000;Commune hors attraction des villes;30;56;53
56243;Séné;057;Vannes;20;56;53
56244;Sérent;000;Commune hors attraction des villes;30;56;53
56245;Silfiac;000;Commune hors attraction des villes;30;56;53
56246;Le Sourn;207;Pontivy;20;56;53
56247;Sulniac;057;Vannes;20;56;53
56248;Surzur;057;Vannes;20;56;53
56249;Taupont;255;Ploërmel;20;56;53
56250;Théhillac;000;Commune hors attraction des villes;30;56;53
56251;Theix-Noyalo;057;Vannes;20;56;53
56252;Le Tour-du-Parc;057;Vannes;20;56;53
56253;Tréal;000;Commune hors attraction des villes;30;56;53
56254;Trédion;057;Vannes;20;56;53
56255;Treffléan;057;Vannes;20;56;53
56256;Tréhorenteuc;255;Ploërmel;20;56;53
56257;La Trinité-Porhoët;000;Commune hors attraction des villes;30;56;53
56258;La Trinité-sur-Mer;000;Commune hors attraction des villes;30;56;53
56259;La Trinité-Surzur;057;Vannes;20;56;53
56260;Vannes;057;Vannes;11;56;53
56261;La Vraie-Croix;057;Vannes;20;56;53
56262;Le Bono;057;Vannes;20;56;53
56263;Sainte-Anne-d'Auray;057;Vannes;20;56;53
56264;Kernascléden;000;Commune hors attraction des villes;30;56;53
57001;Aboncourt;000;Commune hors attraction des villes;30;57;44
57002;Aboncourt-sur-Seille;020;Nancy;20;57;44
57003;Abreschviller;170;Sarrebourg;20;57;44
57004;Achain;541;Morhange;20;57;44
57006;Achen;121;Sarreguemines (partie française);20;57;44
57007;Adaincourt;033;Metz;20;57;44
57008;Adelange;461;Faulquemont;20;57;44
57009;Ajoncourt;020;Nancy;20;57;44
57010;Alaincourt-la-Côte;033;Metz;20;57;44
57011;Albestroff;000;Commune hors attraction des villes;30;57;44
57012;Algrange;LUX;Luxembourg (partie française);13;57;44
57013;Alsting;SAR;Sarrebruck (partie française);20;57;44
57014;Altrippe;178;Saint-Avold (partie française);20;57;44
57015;Altviller;178;Saint-Avold (partie française);20;57;44
57016;Alzing;501;Bouzonville;20;57;44
57017;Amanvillers;033;Metz;20;57;44
57018;Amelécourt;000;Commune hors attraction des villes;30;57;44
57019;Amnéville;317;Amnéville - Rombas;11;57;44
57020;Ancerville;033;Metz;20;57;44
57021;Ancy-Dornot;033;Metz;20;57;44
57022;Angevillers;LUX;Luxembourg (partie française);20;57;44
57024;Antilly;033;Metz;20;57;44
57025;Anzeling;000;Commune hors attraction des villes;30;57;44
57026;Apach;LUX;Luxembourg (partie française);20;57;44
57027;Arraincourt;033;Metz;20;57;44
57028;Argancy;033;Metz;20;57;44
57029;Arriance;033;Metz;20;57;44
57030;Arry;033;Metz;20;57;44
57031;Ars-Laquenexy;033;Metz;20;57;44
57032;Ars-sur-Moselle;033;Metz;20;57;44
57033;Arzviller;170;Sarrebourg;20;57;44
57034;Aspach;170;Sarrebourg;20;57;44
57035;Assenoncourt;527;Dieuze;20;57;44
57036;Attilloncourt;020;Nancy;20;57;44
57037;Aube;033;Metz;20;57;44
57038;Audun-le-Tiche;LUX;Luxembourg (partie française);20;57;44
57039;Augny;033;Metz;20;57;44
57040;Aulnois-sur-Seille;020;Nancy;20;57;44
57041;Aumetz;LUX;Luxembourg (partie française);20;57;44
57042;Avricourt;170;Sarrebourg;20;57;44
57043;Ay-sur-Moselle;033;Metz;20;57;44
57044;Azoudange;000;Commune hors attraction des villes;30;57;44
57045;Bacourt;033;Metz;20;57;44
57046;Baerenthal;000;Commune hors attraction des villes;30;57;44
